[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/floor-3.qetf5bM6.jpg → pending (?ms, ?B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/GROUP_04.UuBn0QD6.jpg → pending (?ms, ?B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/floor-3.9PRd59aV.jpg → 200 (201ms, 31865B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/GROUP_04.BE5DkIZl.jpg → 200 (164ms, 156054B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/impact.g8_rcWeB.png → 200 (114ms, 49547B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/impact.C00mI3Um.png → 200 (288ms, 27225B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/scene-1.DHHv-ce4.glb → 200 (163ms, 281571B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/scene-2.LXH2Rcrt.glb → 200 (164ms, ?B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/map.Gm0L8IvM.glb → 200 (204ms, 243759B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/text.BNkI40CA.png → pending (?ms, ?B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/text.CkFSlLHU.png → 200 (122ms, 158878B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/lines-alphamap.ChUZZfI6.jpg → 200 (287ms, 20653B)
[2026-07-14T18:46:29.929Z] GET https://www.hut8.com/_nuxt/alphamap-pins.Hquppjpd.jpg → 200 (117ms, 6802B)
[2026-07-14T18:46:29.939Z] GET https://player.vimeo.com/progressive_redirect/playback/1101302197/rendition/1080p/file.mp4?loc=external&signature=f1080e64cd5d458cd0b1e70038cd7f8a4cb5c0b355b1c4d31b0b70eb0e9a58ab → 302 (256ms, ?B)
[2026-07-14T18:46:29.939Z] GET https://player.vimeo.com/progressive_redirect/playback/1083046803/rendition/2160p/file.mp4?loc=external&signature=5711c57a1352261ac72df63d182ca7a06d29ee98e1102263a41eacf437a1b556 → 302 (263ms, ?B)
[2026-07-14T18:46:30.195Z] GET https://download-video-ak.vimeocdn.com/v3-1/playback/e47e105f-a360-4717-bc5a-c7b75723d408/a2745ce1-89b8f1f4?__token__=st=1784054790~exp=1784058390~acl=%2Fv3-1%2Fplayback%2Fe47e105f-a360-4717-bc5a-c7b75723d408%2Fa2745ce1-89b8f1f4%2A~hmac=96a2885ba991eec6f99783326a9ee76fcba267ad3db5289415a0112effcd86fc&r=dXMtY2VudHJhbDE%3D → pending (?ms, ?B)
[2026-07-14T18:46:30.202Z] GET https://download-video-ak.vimeocdn.com/v3-1/playback/6170e242-1ae2-4180-93e2-28f17a1c625e/925c170e?__token__=st=1784054790~exp=1784058390~acl=%2Fv3-1%2Fplayback%2F6170e242-1ae2-4180-93e2-28f17a1c625e%2F925c170e%2A~hmac=223caaeacd184f9fba6b6623d54a4849dd6274d8023602b60c1feebaa944a8eb&r=dXMtY2VudHJhbDE%3D → pending (?ms, ?B)
[2026-07-14T18:46:30.522Z] GET https://www.hut8.com/fonts/ITCFranklinGothicStd-Med.woff2 → 200 (41ms, 16291B)
[2026-07-14T18:46:30.522Z] GET https://www.hut8.com/fonts/ITCFranklinGothicStd-Book.woff2 → 200 (42ms, 15164B)
[2026-07-14T18:46:30.523Z] GET https://cdn.sanity.io/images/2iccs2ie/production/08c89b0f316877a473a26d74d50a3ecadbaf70f1-3150x3150.jpg?w=1600&fm=webp → 200 (158ms, 138330B)
[2026-07-14T18:46:30.523Z] GET https://cdn.sanity.io/images/2iccs2ie/production/6b2a221882f439f92c2630c5db564a5bad937f44-1080x1080.jpg?w=1600&fm=webp → 200 (437ms, 32407B)
[2026-07-14T18:46:30.523Z] GET https://cdn.sanity.io/images/2iccs2ie/production/34eb0c094e4e717174f814f62ebcf387cd9d36a7-3240x3240.jpg?w=1600&fm=webp → 200 (449ms, 292783B)
[2026-07-14T18:46:30.543Z] GET https://www.hut8.com/_nuxt/index.BPaz0LB5.css → 200 (38ms, 8085B)
[2026-07-14T18:46:30.639Z] GET https://www.hut8.com/_nuxt/default.jS_HXINU.css → 200 (55ms, 265B)
[2026-07-14T18:46:30.921Z] GET https://www.hut8.com/_nuxt/preloader.CT6z5LVl.jpg → 200 (3ms, -465B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/GROUP_01.CgoV_gPf.jpg → 200 (3ms, -464B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/GROUP_02.ApV11WjZ.jpg → 200 (4ms, -464B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/GROUP_03.PlwvhIXp.jpg → 200 (4ms, -464B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/floor1.hPKjlQ8X.jpg → 200 (4ms, -462B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/floor2.Bm40DZ_-.jpg → 200 (5ms, -462B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/lines-alphamap.ChUZZfI6.jpg → 200 (5ms, -469B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/scene-1.DHHv-ce4.glb → 200 (23ms, -448B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/GROUP_04.UuBn0QD6.jpg → 200 (6ms, -464B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/floor-3.qetf5bM6.jpg → 200 (6ms, -463B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/scene-2.LXH2Rcrt.glb → 200 (23ms, -448B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/alphamap-pins.Hquppjpd.jpg → 200 (7ms, -467B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/impact.g8_rcWeB.png → 200 (7ms, -460B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/map.Gm0L8IvM.glb → 200 (23ms, -444B)
[2026-07-14T18:46:30.922Z] GET https://www.hut8.com/_nuxt/text.BNkI40CA.png → 200 (7ms, -459B)
[2026-07-14T18:46:30.941Z] GET https://player.vimeo.com/progressive_redirect/playback/1101302197/rendition/1080p/file.mp4?loc=external&signature=f1080e64cd5d458cd0b1e70038cd7f8a4cb5c0b355b1c4d31b0b70eb0e9a58ab → 302 (171ms, ?B)
[2026-07-14T18:46:30.941Z] GET https://player.vimeo.com/progressive_redirect/playback/1083046803/rendition/2160p/file.mp4?loc=external&signature=5711c57a1352261ac72df63d182ca7a06d29ee98e1102263a41eacf437a1b556 → pending (?ms, ?B)
[2026-07-14T18:46:30.978Z] GET https://www.hut8.com/draco/draco_wasm_wrapper.js → 200 (69ms, 12167B)
[2026-07-14T18:46:30.978Z] GET https://www.hut8.com/draco/draco_decoder.wasm → 200 (50ms, 84929B)
[2026-07-14T18:46:31.021Z] GET https://www.googletagmanager.com/gtag/js?id=G-2EEYSG8CZE&cx=c&gtm=4e67d0 → pending (?ms, ?B)
[2026-07-14T18:46:31.021Z] GET https://www.astute-7-visionary.com/js/808588.js → pending (?ms, ?B)
[2026-07-14T18:46:31.052Z] GET blob:https://www.hut8.com/6d84fd14-c4e7-42dd-b2da-fb0ffd769dbb → 200 (18ms, -59B)
[2026-07-14T18:46:31.052Z] GET blob:https://www.hut8.com/6d84fd14-c4e7-42dd-b2da-fb0ffd769dbb → 200 (18ms, -59B)
[2026-07-14T18:46:31.052Z] GET blob:https://www.hut8.com/6d84fd14-c4e7-42dd-b2da-fb0ffd769dbb → 200 (18ms, -59B)
[2026-07-14T18:46:31.052Z] GET blob:https://www.hut8.com/6d84fd14-c4e7-42dd-b2da-fb0ffd769dbb → 200 (18ms, -59B)
